,PeakTime
0,0.0
1,110.4299783646698
2,109.3003765479256
3,107.37439014168498
4,112.22517072015545
5,115.34749143876584
6,110.55659816328199
7,115.8154325319964
8,100.31242787621038
9,0.0
10,0.0
11,0.0
12,100.74133677379156
13,0.0
14,108.60333318378707
15,119.05066856242465
16,0.0
17,0.0
18,98.45946727471743
19,0.0
20,105.01874403554956
21,0.0
22,0.0
23,0.0
24,103.32508135220985
25,100.15175252943325
26,0.0
27,101.78190191882088
28,0.0
29,0.0
30,119.13406915912742
31,0.0
32,104.51882935739505
33,0.0
34,0.0
35,0.0
36,108.73695707926437
37,113.39420460363318
38,0.0
39,112.1108071375951
40,0.0
41,100.6355823825064
42,0.0
43,104.72831128688199
44,0.0
45,0.0
46,105.01019119163308
47,105.52758590966181
48,0.0
49,114.73028114136491
50,109.19719999218289
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,109.31412931841659
57,0.0
58,0.0
59,0.0
60,110.33562240636805
61,139.5057501840029
62,109.25604532899102
63,0.0
64,0.0
65,0.0
66,129.24234917627098
67,101.37862306719695
68,104.20295247671912
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,107.34230027130833
76,0.0
77,0.0
78,0.0
79,0.0
80,121.8424119756964
81,107.18284298716793
82,0.0
83,104.13729867542348
84,108.8396232737825
85,115.00651931493925
86,127.84736477910904
87,0.0
88,0.0
89,0.0
90,123.22465674915797
91,111.26947451138052
92,103.96831575146193
93,0.0
94,0.0
95,110.18495631189782
96,0.0
97,103.96621830652252
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,113.31771270145802
105,0.0
106,130.82682093582147
107,0.0
108,0.0
109,108.87075672571775
110,102.62327941844691
111,109.48502106672971
112,0.0
113,0.0
114,111.38259102820935
115,126.4477145599007
116,0.0
117,0.0
118,107.20898289694738
119,0.0
120,129.1212936774911
121,116.8452963507683
122,117.53379649051743
123,0.0
124,0.0
125,118.14363014172217
126,0.0
127,0.0
128,0.0
129,108.66809568470771
130,105.27670513554799
131,0.0
132,0.0
133,113.28409776986982
134,125.40079705834401
135,0.0
136,0.0
137,98.15644388547014
138,0.0
139,108.41665601925092
140,0.0
141,109.36955637723123
142,106.78710273228104
143,0.0
